bc;prob
-5739.5;0
-5734.5;0
-5729.5;0.000000026289
-5724.5;0.000000026289
-5719.5;0.00000005258
-5714.5;0.00000007887
-5709.5;0.00000013145
-5704.5;0.00000015773
-5699.5;0.00000018402
-5694.5;0.00000018402
-5689.5;0.00000018402
-5684.5;0.00000015773
-5679.5;0.00000015773
-5674.5;0.00000015773
-5669.5;0.00000021031
-5664.5;0.00000028918
-5659.5;0.0000004469
-5654.5;0.0000005784
-5649.5;0.0000005521
-5644.5;0.0000005258
-5639.5;0.0000007361
-5634.5;0.0000011041
-5629.5;0.0000016299
-5624.5;0.0000025763
-5619.5;0.000004443
-5614.5;0.000007466
-5609.5;0.000011909
-5604.5;0.000016483
-5599.5;0.000019033
-5594.5;0.000017377
-5589.5;0.000012277
-5584.5;0.00000857
-5579.5;0.000007045
-5574.5;0.000006888
-5569.5;0.000007782
-5564.5;0.000010069
-5559.5;0.000015143
-5554.5;0.000021136
-5549.5;0.000023292
-5544.5;0.000023818
-5539.5;0.000026
-5534.5;0.000028997
-5529.5;0.00003515
-5524.5;0.00004072
-5519.5;0.00004424
-5514.5;0.00004903
-5509.5;0.00005844
-5504.5;0.00006549
-5499.5;0.00006204
-5494.5;0.00005844
-5489.5;0.00006081
-5484.5;0.00007803
-5479.5;0.00012692
-5474.5;0.00021886
-5469.5;0.0003629
-5464.5;0.000525
-5459.5;0.0006423
-5454.5;0.0006741
-5449.5;0.0006355
-5444.5;0.0005763
-5439.5;0.0005407
-5434.5;0.0005201
-5429.5;0.0005066
-5424.5;0.0005144
-5419.5;0.000563
-5414.5;0.0005984
-5409.5;0.000591
-5404.5;0.0005407
-5399.5;0.0004605
-5394.5;0.0004174
-5389.5;0.0004472
-5384.5;0.0004981
-5379.5;0.0005538
-5374.5;0.0006277
-5369.5;0.0007329
-5364.5;0.0008564
-5359.5;0.0009517
-5354.5;0.0010012
-5349.5;0.0010019
-5344.5;0.0009926
-5339.5;0.0010227
-5334.5;0.001043
-5329.5;0.001022
-5324.5;0.0010621
-5319.5;0.0012422
-5314.5;0.0014408
-5309.5;0.0015749
-5304.5;0.001729
-5299.5;0.0019186
-5294.5;0.0020645
-5289.5;0.0021352
-5284.5;0.0021684
-5279.5;0.0021987
-5274.5;0.002197
-5269.5;0.0021573
-5264.5;0.0021051
-5259.5;0.0020932
-5254.5;0.0020898
-5249.5;0.0020811
-5244.5;0.0020528
-5239.5;0.0020273
-5234.5;0.0020008
-5229.5;0.0020395
-5224.5;0.0021339
-5219.5;0.0022377
-5214.5;0.0023768
-5209.5;0.002446
-5204.5;0.0024081
-5199.5;0.0023427
-5194.5;0.0022898
-5189.5;0.0022437
-5184.5;0.0022231
-5179.5;0.0022649
-5174.5;0.002355
-5169.5;0.0023769
-5164.5;0.0024046
-5159.5;0.0024129
-5154.5;0.0024157
-5149.5;0.0024153
-5144.5;0.0024226
-5139.5;0.0024349
-5134.5;0.0024166
-5129.5;0.0024113
-5124.5;0.0024258
-5119.5;0.0024232
-5114.5;0.0023974
-5109.5;0.0023974
-5104.5;0.0024145
-5099.5;0.0024176
-5094.5;0.0024166
-5089.5;0.0024279
-5084.5;0.002437
-5079.5;0.0024209
-5074.5;0.0023974
-5069.5;0.002363
-5064.5;0.0023261
-5059.5;0.0022833
-5054.5;0.0022364
-5049.5;0.0021226
-5044.5;0.0020597
-5039.5;0.0020113
-5034.5;0.0019833
-5029.5;0.0019644
-5024.5;0.0019231
-5019.5;0.0018922
-5014.5;0.0018714
-5009.5;0.0018714
-5004.5;0.0018504
-4999.5;0.0017537
-4994.5;0.001599
-4989.5;0.0015094
-4984.5;0.001431
-4979.5;0.0013868
-4974.5;0.0013754
-4969.5;0.0013865
-4964.5;0.0013976
-4959.5;0.0013758
-4954.5;0.0013314
-4949.5;0.00132
-4944.5;0.0012549
-4939.5;0.0011094
-4934.5;0.0010393
-4929.5;0.0009185
-4924.5;0.000903
-4919.5;0.0009383
-4914.5;0.0009738
-4909.5;0.0009373
-4904.5;0.0008657
-4899.5;0.000849
-4894.5;0.0007649
-4889.5;0.0007151
-4884.5;0.0007554
-4879.5;0.0007151
-4874.5;0.0007083
-4869.5;0.0007095
-4864.5;0.0007723
-4859.5;0.0009454
-4854.5;0.0008657
-4849.5;0.0007723
-4844.5;0.0006705
-4839.5;0.0005912
-4834.5;0.0005391
-4829.5;0.0005181
-4824.5;0.0004852
-4819.5;0.0004748
-4814.5;0.0004852
-4809.5;0.0005422
-4804.5;0.0005082
-4799.5;0.0004893
-4794.5;0.0004654
-4789.5;0.0004373
-4784.5;0.0004233
-4779.5;0.0004179
-4774.5;0.0004157
-4769.5;0.0004139
-4764.5;0.0004148
-4759.5;0.0004156
-4754.5;0.0004148
-4749.5;0.0004146
-4744.5;0.0004143
-4739.5;0.0004142
-4734.5;0.0004131
-4729.5;0.0004128
-4724.5;0.0004134
-4719.5;0.0004215
-4714.5;0.0004304
-4709.5;0.0004377
-4704.5;0.000451
-4699.5;0.0004551
-4694.5;0.0004541
-4689.5;0.000457
-4684.5;0.0004855
-4679.5;0.0005082
-4674.5;0.0005147
-4669.5;0.0005101
-4664.5;0.0005189
-4659.5;0.0005161
-4654.5;0.0005076
-4649.5;0.0005241
-4644.5;0.0005321
-4639.5;0.0005219
-4634.5;0.0005082
-4629.5;0.000494
-4624.5;0.0004888
-4619.5;0.0005008
-4614.5;0.0005256
-4609.5;0.0005428
-4604.5;0.0005597
-4599.5;0.0005722
-4594.5;0.0005882
-4589.5;0.0005918
-4584.5;0.0005982
-4579.5;0.0006151
-4574.5;0.0006224
-4569.5;0.000614
-4564.5;0.000606
-4559.5;0.0006071
-4554.5;0.0006122
-4549.5;0.0006423
-4544.5;0.0007259
-4539.5;0.0008368
-4534.5;0.0008884
-4529.5;0.0009271
-4524.5;0.000951
-4519.5;0.0009671
-4514.5;0.0009999
-4509.5;0.0010082
-4504.5;0.0009828
-4499.5;0.0010333
-4494.5;0.0011275
-4489.5;0.0012147
-4484.5;0.0012934
-4479.5;0.0013195
-4474.5;0.0012759
-4469.5;0.0012761
-4464.5;0.0012498
-4459.5;0.0013458
-4454.5;0.0015588
-4449.5;0.0017087
-4444.5;0.0018835
-4439.5;0.0019747
-4434.5;0.0020078
-4429.5;0.0020157
-4424.5;0.0019993
-4419.5;0.0019166
-4414.5;0.0018168
-4409.5;0.0017752
-4404.5;0.0017919
-4399.5;0.0018668
-4394.5;0.0019084
-4389.5;0.0019334
-4384.5;0.0019168
-4379.5;0.0018835
-4374.5;0.0018502
-4369.5;0.0019583
-4364.5;0.0020482
-4359.5;0.002158
-4354.5;0.0022576
-4349.5;0.0023482
-4344.5;0.0024152
-4339.5;0.0024534
-4334.5;0.0024577
-4329.5;0.0024154
-4324.5;0.0023468
-4319.5;0.0022974
-4314.5;0.0022769
-4309.5;0.002274
-4304.5;0.0022747
-4299.5;0.0022775
-4294.5;0.0022824
-4289.5;0.0023054
-4284.5;0.0023359
-4279.5;0.0023709
-4274.5;0.0023849
-4269.5;0.0023605
-4264.5;0.0023083
-4259.5;0.0022751
-4254.5;0.0022805
-4249.5;0.0022921
-4244.5;0.0022874
-4239.5;0.0023195
-4234.5;0.0024444
-4229.5;0.0029117
-4224.5;0.003808
-4219.5;0.004662
-4214.5;0.005008
-4209.5;0.004652
-4204.5;0.004018
-4199.5;0.003476
-4194.5;0.0030947
-4189.5;0.002831
-4184.5;0.0027078
-4179.5;0.0027613
-4174.5;0.0029491
-4169.5;0.003292
-4164.5;0.003776
-4159.5;0.00411
-4154.5;0.004321
-4149.5;0.004683
-4144.5;0.004999
-4139.5;0.005181
-4134.5;0.005051
-4129.5;0.004115
-4124.5;0.003297
-4119.5;0.003379
-4114.5;0.003657
-4109.5;0.00397
-4104.5;0.003961
-4099.5;0.003877
-4094.5;0.003484
-4089.5;0.00339
-4084.5;0.0031469
-4079.5;0.003375
-4074.5;0.003637
-4069.5;0.00405
-4064.5;0.004321
-4059.5;0.004425
-4054.5;0.004573
-4049.5;0.005251
-4044.5;0.006503
-4039.5;0.008337
-4034.5;0.010039
-4029.5;0.010609
-4024.5;0.010396
-4019.5;0.009741
-4014.5;0.008858
-4009.5;0.008263
-4004.5;0.008113
-3999.5;0.008635
-3994.5;0.009524
-3989.5;0.010322
-3984.5;0.010962
-3979.5;0.011654
-3974.5;0.012408
-3969.5;0.013294
-3964.5;0.014383
-3959.5;0.015541
-3954.5;0.016456
-3949.5;0.016888
-3944.5;0.017027
-3939.5;0.01686
-3934.5;0.016531
-3929.5;0.016208
-3924.5;0.016056
-3919.5;0.016056
-3914.5;0.016095
-3909.5;0.016017
-3904.5;0.015661
-3899.5;0.015596
-3894.5;0.015661
-3889.5;0.015285
-3884.5;0.01518
-3879.5;0.015561
-3874.5;0.016261
-3869.5;0.016665
-3864.5;0.01672
-3859.5;0.016676
-3854.5;0.016957
-3849.5;0.017074
-3844.5;0.016953
-3839.5;0.016932
-3834.5;0.016919
-3829.5;0.016968
-3824.5;0.017022
-3819.5;0.016919
-3814.5;0.016909
-3809.5;0.016653
-3804.5;0.016337
-3799.5;0.015743
-3794.5;0.01515
-3789.5;0.015031
-3784.5;0.01504
-3779.5;0.015146
-3774.5;0.015241
-3769.5;0.015573
-3764.5;0.015754
-3759.5;0.016023
-3754.5;0.016379
-3749.5;0.016275
-3744.5;0.016505
-3739.5;0.016064
-3734.5;0.016023
-3729.5;0.016084
-3724.5;0.016116
-3719.5;0.015697
-3714.5;0.015831
-3709.5;0.016619
-3704.5;0.017953
-3699.5;0.018831
-3694.5;0.019163
-3689.5;0.019912
-3684.5;0.01988
-3679.5;0.019612
-3674.5;0.019326
-3669.5;0.019369
-3664.5;0.019476
-3659.5;0.019837
-3654.5;0.020352
-3649.5;0.020822
-3644.5;0.020913
-3639.5;0.020746
-3634.5;0.01922
-3629.5;0.016757
-3624.5;0.014946
-3619.5;0.014085
-3614.5;0.013636
-3609.5;0.013825
-3604.5;0.014145
-3599.5;0.014676
-3594.5;0.015131
-3589.5;0.015208
-3584.5;0.015702
-3579.5;0.016229
-3574.5;0.01706
-3569.5;0.016606
-3564.5;0.016833
-3559.5;0.016907
-3554.5;0.017734
-3549.5;0.01844
-3544.5;0.018782
-3539.5;0.018378
-3534.5;0.016909
-3529.5;0.015928
-3524.5;0.015071
-3519.5;0.013888
-3514.5;0.013105
-3509.5;0.013075
-3504.5;0.013068
-3499.5;0.013057
-3494.5;0.013786
-3489.5;0.014615
-3484.5;0.01513
-3479.5;0.015437
-3474.5;0.015338
-3469.5;0.014852
-3464.5;0.01399
-3459.5;0.013828
-3454.5;0.013578
-3449.5;0.013518
-3444.5;0.013437
-3439.5;0.013553
-3434.5;0.013404
-3429.5;0.01315
-3424.5;0.013021
-3419.5;0.013083
-3414.5;0.013103
-3409.5;0.013113
-3404.5;0.013118
-3399.5;0.013078
-3394.5;0.013187
-3389.5;0.013387
-3384.5;0.013209
-3379.5;0.013062
-3374.5;0.013796
-3369.5;0.015182
-3364.5;0.01583
-3359.5;0.015446
-3354.5;0.014651
-3349.5;0.013752
-3344.5;0.012547
-3339.5;0.012116
-3334.5;0.011311
-3329.5;0.010738
-3324.5;0.010563
-3319.5;0.010542
-3314.5;0.010533
-3309.5;0.010632
-3304.5;0.010815
-3299.5;0.010712
-3294.5;0.010653
-3289.5;0.010542
-3284.5;0.010603
-3279.5;0.010744
-3274.5;0.010682
-3269.5;0.01053
-3264.5;0.010432
-3259.5;0.012196
-3254.5;0.012104
-3249.5;0.011578
-3244.5;0.011265
-3239.5;0.010748
-3234.5;0.010513
-3229.5;0.010513
-3224.5;0.010507
-3219.5;0.010507
-3214.5;0.010595
-3209.5;0.011136
-3204.5;0.011662
-3199.5;0.012046
-3194.5;0.011789
-3189.5;0.011176
-3184.5;0.010807
-3179.5;0.010699
-3174.5;0.010586
-3169.5;0.010598
-3164.5;0.010643
-3159.5;0.010592
-3154.5;0.010807
-3149.5;0.01135
-3144.5;0.011739
-3139.5;0.011574
-3134.5;0.011128
-3129.5;0.010939
-3124.5;0.010776
-3119.5;0.010617
-3114.5;0.010566
-3109.5;0.010615
-3104.5;0.010677
-3099.5;0.011197
-3094.5;0.012417
-3089.5;0.014534
-3084.5;0.016121
-3079.5;0.018098
-3074.5;0.019623
-3069.5;0.018872
-3064.5;0.017177
-3059.5;0.01596
-3054.5;0.015088
-3049.5;0.015088
-3044.5;0.014947
-3039.5;0.01465
-3034.5;0.014788
-3029.5;0.015088
-3024.5;0.017947
-3019.5;0.020459
-3014.5;0.021804
-3009.5;0.022366
-3004.5;0.023145
-2999.5;0.023373
-2994.5;0.023432
-2989.5;0.023297
-2984.5;0.02294
-2979.5;0.022605
-2974.5;0.022227
-2969.5;0.022326
-2964.5;0.022326
-2959.5;0.022404
-2954.5;0.022686
-2949.5;0.022556
-2944.5;0.022164
-2939.5;0.022556
-2934.5;0.022605
-2929.5;0.023051
-2924.5;0.02348
-2919.5;0.023833
-2914.5;0.023429
-2909.5;0.022651
-2904.5;0.021417
-2899.5;0.020033
-2894.5;0.019039
-2889.5;0.017846
-2884.5;0.016579
-2879.5;0.015913
-2874.5;0.014577
-2869.5;0.013722
-2864.5;0.013473
-2859.5;0.013042
-2854.5;0.012511
-2849.5;0.012387
-2844.5;0.012271
-2839.5;0.012337
-2834.5;0.012073
-2829.5;0.01161
-2824.5;0.011343
-2819.5;0.011606
-2814.5;0.012009
-2809.5;0.012585
-2804.5;0.013288
-2799.5;0.013802
-2794.5;0.013937
-2789.5;0.013759
-2784.5;0.013802
-2779.5;0.013893
-2774.5;0.013485
-2769.5;0.013446
-2764.5;0.013564
-2759.5;0.01344
-2754.5;0.012975
-2749.5;0.012724
-2744.5;0.012465
-2739.5;0.012344
-2734.5;0.012291
-2729.5;0.012313
-2724.5;0.012412
-2719.5;0.012818
-2714.5;0.013326
-2709.5;0.013246
-2704.5;0.013104
-2699.5;0.012758
-2694.5;0.012412
-2689.5;0.012271
-2684.5;0.01236
-2679.5;0.012412
-2674.5;0.012223
-2669.5;0.012073
-2664.5;0.011988
-2659.5;0.011814
-2654.5;0.01165
-2649.5;0.011767
-2644.5;0.011922
-2639.5;0.012009
-2634.5;0.011882
-2629.5;0.011634
-2624.5;0.011505
-2619.5;0.011232
-2614.5;0.010646
